datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.60274,2010-08-08,-99.4700,260.3290,46.5340,1.9970,1.9230,9.4040
2010.60548,2010-08-09,-99.2870,263.4290,37.0410,1.8580,1.8520,9.1340
2010.60822,2010-08-10,-101.1050,259.3830,31.2800,2.1860,2.0580,10.2670
2010.61096,2010-08-11,-92.4660,257.6250,45.7610,1.9900,1.8460,9.3440
2010.61370,2010-08-12,-92.8900,261.3060,34.4670,1.9650,1.8420,9.5170
2010.61644,2010-08-13,-92.9760,257.1090,47.2950,2.0320,1.7540,8.9170
2010.61918,2010-08-14,-96.9220,260.9160,53.5080,2.0070,1.8530,9.2430
2010.62192,2010-08-15,-93.2490,262.8310,61.4780,2.0960,1.8780,9.6620
2010.62466,2010-08-16,-91.5730,265.2760,41.2690,2.0260,1.8580,9.4470
2010.62740,2010-08-17,-90.5310,264.1030,45.6560,2.1560,1.9350,9.9970
2010.63014,2010-08-18,-93.6890,261.1740,20.7610,2.0780,1.9080,9.6470
2010.63288,2010-08-19,-96.5060,261.7310,33.9790,2.1800,1.9140,10.1430
2010.63562,2010-08-20,-89.5160,260.6470,29.4130,2.2380,1.9400,10.2630
2010.63836,2010-08-21,-94.8540,262.8250,34.5500,2.2900,2.0250,10.3150
2010.64110,2010-08-22,-93.2680,257.6950,57.4720,2.1700,1.8870,9.9080
2010.64384,2010-08-23,-94.6890,261.1030,47.4710,2.2320,2.0630,10.6000
2010.64658,2010-08-24,-90.3210,255.6330,21.2160,2.4820,2.1220,10.6240
2010.64932,2010-08-25,-93.0050,252.8660,36.4840,2.1890,1.9550,9.9410
2010.65205,2010-08-26,-91.8640,257.8730,22.1910,2.0360,1.8310,9.2040
2010.65479,2010-08-27,-89.2370,258.8330,45.0170,2.1860,1.9030,10.1830
2010.65753,2010-08-28,-92.0200,259.6380,37.5970,2.0670,1.7640,9.3030
2010.66027,2010-08-29,-91.4480,261.4000,16.3400,2.1560,1.9470,9.8240
2010.66301,2010-08-30,-93.5340,253.6680,10.2010,2.2450,1.9910,10.1730
2010.66575,2010-08-31,-92.6550,254.8300,30.1810,2.5730,2.1830,10.8090
2010.66849,2010-09-01,-92.0090,255.0250,34.2450,2.2100,1.9350,9.6420
2010.67123,2010-09-02,-82.8500,258.6820,40.6250,2.2570,1.9400,10.0980
2010.67397,2010-09-03,-97.3800,259.9890,32.7180,2.2040,2.0280,10.2300
2010.67671,2010-09-04,-92.1760,255.9990,16.7650,2.0960,1.9410,9.9520
2010.67945,2010-09-05,-93.2580,256.4500,26.8260,2.0650,1.9060,9.5410
2010.68219,2010-09-06,-90.6190,261.1260,45.9120,1.9510,1.8280,9.1570
2010.68493,2010-09-07,-96.1120,258.6170,25.4310,2.1400,1.9670,10.1250
2010.68767,2010-09-08,-88.4760,256.2220,13.9460,2.2560,2.2070,10.5920
2010.69041,2010-09-09,-91.6210,258.7710,40.1090,2.2410,1.7970,9.3510
2010.69315,2010-09-10,-84.6390,260.0440,70.7000,2.0140,1.7250,8.9510
2010.69589,2010-09-11,-90.4940,265.9000,97.6240,2.2550,2.1760,10.6760
2010.69863,2010-09-12,-89.3640,258.1960,41.8680,2.2390,2.0550,10.4470
2010.70137,2010-09-13,-89.0510,262.4140,50.1470,2.1030,2.1070,10.6220
2010.70411,2010-09-14,-88.2290,264.5650,27.4600,2.0990,1.9720,9.8430
2010.70685,2010-09-15,-94.7920,265.8850,44.2090,2.0620,2.0320,10.1780
2010.70959,2010-09-16,-97.3960,265.3590,32.5950,2.1430,2.1020,10.1590
2010.71233,2010-09-17,-96.3950,269.6330,38.6650,2.0360,2.0290,10.2350
2010.71507,2010-09-18,-102.5850,275.7170,109.5960,2.7330,2.4930,12.8550
2010.71781,2010-09-19,-114.0250,276.2240,50.9770,2.2360,2.4100,12.0150
2010.72055,2010-09-20,-104.2540,272.4470,22.2520,2.0470,1.9710,10.0420
2010.72329,2010-09-21,-101.9150,279.3060,46.7890,2.2660,2.3360,11.1430
2010.72603,2010-09-22,-109.0080,270.6310,31.8890,2.1000,1.9680,10.3590
2010.72877,2010-09-23,-105.4810,269.2970,0.7700,2.1070,1.9530,10.0890
2010.73151,2010-09-24,-112.5650,270.2470,18.0150,2.0550,1.8550,9.9940
2010.73425,2010-09-25,-108.3730,277.5520,36.4850,2.0470,1.8710,9.9090
2010.73699,2010-09-26,-105.6810,278.2100,53.7960,2.0470,1.9020,10.1120
2010.73973,2010-09-27,-109.0740,272.1920,26.5620,2.4740,2.0750,11.3750
2010.74247,2010-09-28,-111.0770,269.1760,45.4920,2.2440,2.0040,10.6250
2010.74521,2010-09-29,-109.2860,267.9350,24.5140,2.0970,1.9510,10.3100
2010.74795,2010-09-30,-105.7140,275.9230,53.9090,2.0020,1.9510,10.2000
2010.75068,2010-10-01,-106.4330,269.2750,15.8760,2.0230,1.9260,10.3460
2010.75342,2010-10-02,-106.4590,266.6580,17.2530,2.0720,1.9560,10.2840
2010.75616,2010-10-03,-108.0690,275.3860,52.9510,2.0440,1.9920,10.3870
2010.75890,2010-10-04,-106.6380,275.2520,53.7570,1.9460,1.8860,9.9990
2010.76164,2010-10-05,-105.7170,274.3960,30.6280,1.9110,1.8340,9.3890
2010.76438,2010-10-06,-103.7360,273.1120,56.8110,1.8560,1.7780,9.3650
2010.76712,2010-10-07,-109.7770,271.9070,35.1250,1.9390,1.6850,8.9510
2010.76986,2010-10-08,-113.2990,271.8340,22.5850,1.9070,1.8050,9.3500
2010.77260,2010-10-09,-107.2610,276.9450,41.0960,1.9100,1.9390,9.7040
2010.77534,2010-10-10,-110.4120,273.0590,36.7310,1.9390,1.8510,9.6870
2010.77808,2010-10-11,-104.5180,275.0670,49.2660,2.0060,1.9280,9.8550
2010.78082,2010-10-12,-111.2490,273.3560,37.1050,1.9900,1.8400,9.7720
2010.78356,2010-10-13,-107.0490,268.6000,27.2130,2.0590,1.8170,9.5460
2010.78630,2010-10-14,-108.0950,271.0990,30.8050,2.1050,1.9030,10.3840
2010.78904,2010-10-15,-109.5320,277.5500,30.6510,1.8960,1.8360,9.7540
2010.79178,2010-10-16,-105.9740,270.4380,23.5190,1.9000,1.8500,9.3920
2010.79452,2010-10-17,-107.4390,268.6350,49.6400,1.9210,1.7780,9.2840
2010.79726,2010-10-18,-106.7320,274.8110,22.7760,2.0060,1.9040,9.8260
2010.80000,2010-10-19,-101.7420,259.1490,-17.0070,1.6800,1.5160,7.6030
2010.80274,2010-10-20,-100.1750,261.4060,-29.1090,1.6390,1.4630,7.3610
2010.80548,2010-10-21,-100.0860,261.3460,-30.5700,1.6470,1.4860,7.4500
2010.80822,2010-10-22,-95.6560,259.8280,-35.4670,1.6850,1.5180,7.5070
2010.81096,2010-10-23,-101.3920,257.6760,-37.5120,1.6680,1.5300,7.5380
2010.81370,2010-10-24,-109.5170,261.1100,-35.2790,1.6760,1.5360,7.6460
2010.81644,2010-10-25,-104.6940,262.9680,-18.3600,1.6380,1.5200,7.6720
2010.81918,2010-10-26,-100.7280,257.8910,-38.6290,1.5400,1.4120,7.0100
2010.82192,2010-10-27,-102.9240,259.1760,-46.0830,1.5410,1.4420,7.1060
2010.82466,2010-10-28,-105.3720,258.3350,-25.2570,1.5530,1.4700,7.3840
2010.82740,2010-10-29,-97.9720,262.4440,-9.9890,1.5820,1.5090,7.3400
2010.83014,2010-10-30,-100.7150,257.1100,-35.9000,1.5600,1.4220,7.0020
2010.83288,2010-10-31,-101.3000,261.5870,-28.8340,1.6240,1.5590,7.4930
2010.83562,2010-11-01,-99.8160,260.1180,-33.6920,1.6410,1.5560,7.4390
2010.83836,2010-11-02,-104.6090,261.1440,-47.4530,1.6330,1.5510,7.4210
2010.84110,2010-11-03,-104.8950,259.9750,-27.0250,1.6080,1.5390,7.3810
2010.84384,2010-11-04,-103.8330,260.1310,-32.5500,1.6650,1.5560,7.7330
2010.84658,2010-11-05,-105.0380,262.1830,-0.4480,1.6280,1.5560,7.5630
2010.84932,2010-11-06,-103.7940,261.7030,-9.5190,1.6960,1.5540,7.7310
2010.85205,2010-11-07,-102.7420,258.3870,-27.5690,1.6300,1.5840,7.6950
2010.85479,2010-11-08,-103.1550,261.6320,5.6830,1.6510,1.5140,7.6540
2010.85753,2010-11-09,-100.3370,260.5360,-41.2680,1.5800,1.5310,7.6070
2010.86027,2010-11-10,-103.3300,260.3250,-25.0240,1.5050,1.4250,6.9810
2010.86301,2010-11-11,-102.5850,259.9260,-32.1250,1.5330,1.4540,7.1610
2010.86575,2010-11-12,-104.7260,264.5210,-29.9480,1.6490,1.6110,7.7800
2010.86849,2010-11-13,-108.1330,265.6480,-21.0100,1.6210,1.5090,7.5170
2010.87123,2010-11-14,-102.1880,262.5660,-21.4890,1.6280,1.5230,7.4990
2010.87397,2010-11-15,-102.8910,261.3290,-15.6870,1.5750,1.4880,7.3730
2010.87671,2010-11-16,-103.9630,259.5020,-29.8880,1.5800,1.4620,7.1450
2010.87945,2010-11-17,-105.4170,261.2110,-39.6840,1.6130,1.6070,7.6240
